title,price,shop,comment,link
联想小新16/小新Pro16GT AI元启 2025新品可选超轻薄笔记本电脑办公大学生设计本 锐龙R7 16G 512G｜小新16【国家补贴】 高性能,￥3599.00,联想笔记本授权专卖店,10万+条评价,https://item.jd.com/10114101575527.html
i7满血独显笔记本电脑轻薄本高端高性能金属游戏设计大学生 英特尔14 Pro【2.5K全面屏+抗蓝光+指纹】 32G内存+2TB超速硬盘,￥3488.00,亿盛源电脑办公专营店,1万+条评价,https://item.jd.com/10115117113568.html
拯救者Y7000P/R9000P/Y7000/R7000P笔记本电脑学生画图设计商务办公娱乐2024新款游戏本独显RTX4060 R7000-R7-5800H-RTX3050 16G运行内存+1TB固,￥4087.00,官企数码店,500+条评价,https://item.jd.com/10133037538004.html
HALIWEI国行【2025款英特尔+酷睿i7】笔记本电脑高性能金属轻薄本网课学习设计便携商务办公游戏学生手提 【AI终端】英特尔16pro+4K窄边全面屏蓝光级 32G,￥1794.00,HALIWEI旗舰店,5万+条评价,https://item.jd.com/10107525100533.html
Book国行【2025款英特尔选酷睿】金属笔记本电脑轻薄本大学生上网课设计学习商务办公游戏手提 粉【AI终端】4K英特尔16Ultra全面屏 32G运行+1024G超速硬,￥1718.00,HUMI旗舰店,20万+条评价,https://item.jd.com/10044527344294.html
雷神aibook15 2025【国家政府补贴20%】15.3英寸轻薄高性能办公笔记本电脑(酷睿Ultra7 32G+1T)AIPC,￥6499.00,雷神京东自营旗舰店,200+条评价,https://item.jd.com/100110652610.html
LGHO2025拯救系列新款笔记本电脑高性能轻薄本大学生者专用设计编程商务办公酷睿i9独显4060电竞游戏本 拯救系列/酷睿i9级/8核16线程 32G运行内存+1TB极,￥3198.00,LGHO旗舰店,5000+条评价,https://item.jd.com/10110104512230.html
华为MateBook D 14 SE 店铺预装Windows版 12代酷睿/14英寸护眼屏i5 16G 512G 皓月银,￥2999.00,华为京东自营旗舰店,10万+条评价,https://item.jd.com/100226560754.html
华硕天选6 Pro 锐龙版 国家补贴20% 16英寸游戏本 笔记本电脑(锐龙9 8940HX 16G 1T RTX5060 2.5K)灰,￥8499.00,华硕京东自营官方旗舰店,5万+条评价,https://item.jd.com/100172948815.html
华硕天选6 Pro 酷睿版 国家补贴20% 16英寸游戏本 笔记本电脑(i7-14650HX 16G 1T RTX5060 2.5K)灰,￥8699.00,华硕京东自营官方旗舰店,5万+条评价,https://item.jd.com/100223758220.html
Book国行【2025款英特尔选酷睿】金属笔记本电脑轻薄本大学生上网课设计学习商务办公游戏手提 银【AI终端】4K英特尔16Ultra全面屏 32G运行+1024G超速硬,￥1718.00,HUMI旗舰店,20万+条评价,https://item.jd.com/10043598885653.html
i7满血独显笔记本电脑轻薄本高端高性能金属游戏设计大学生 【AI终端】酷睿i7【满血独显】全能电竞游戏本 32G内存+2TB超速硬盘,￥5488.00,亿盛源电脑办公专营店,1万+条评价,https://item.jd.com/10115117113584.html
HALIWEI国行【2025款英特尔+酷睿i7】笔记本电脑高性能金属轻薄本网课学习设计便携商务办公游戏学生手提 【AI终端】英特尔16Ultra1060独显+蓝光 32GB运存+,￥2476.00,HALIWEI旗舰店,5万+条评价,https://item.jd.com/10107525100540.html
ThinkPad【国家补贴20%】联想ThinkBook14+ 2025轻薄办公 英特尔酷睿Ultra5 14.5英寸 32G 1T 3K,￥6299.00,ThinkPad京东自营旗舰店,10万+条评价,https://item.jd.com/100193182722.html
ThinkPad【国家补贴20%】联想ThinkBook16+ 2025轻薄办公 英特尔酷睿Ultra5 16英寸 32G 1T 3.2K,￥6499.00,ThinkPad京东自营旗舰店,5万+条评价,https://item.jd.com/100152568819.html
Book国行【2025款英特尔选酷睿】金属笔记本电脑轻薄本大学生上网课设计学习商务办公游戏手提 银【AI终端】4K英特尔16Ultra全面屏 32G运行+2048G超速硬,￥2178.00,HUMI旗舰店,20万+条评价,https://item.jd.com/10043598885652.html
LGME拯救系列2025款笔记本电脑酷睿i9+RTX4060独显高性能大学生补贴AI编程设计轻薄本黑悟空电竞游戏本 【拯救系列】AI终端酷睿i9级+4K级高清护眼屏 32G超,￥1978.00,LGME旗舰店,1万+条评价,https://item.jd.com/10120248933172.html
Book国行【2025款英特尔选酷睿】金属笔记本电脑轻薄本大学生上网课设计学习商务办公游戏手提 【顶配】intel 16mas|高芯独显|全面屏 32G运行+1024G超速硬,￥2218.00,HUMI旗舰店,20万+条评价,https://item.jd.com/10043598885661.html
戴睿（dere）国家补贴英特尔轻薄本14英寸便携笔记本电脑自营 学生网课设计游戏娱乐商务办公本 8G+128G 星空灰,￥990.00,DERE戴睿京东自营旗舰店,2万+条评价,https://item.jd.com/100053554962.html
Book国行【2025款英特尔选酷睿】金属笔记本电脑轻薄本大学生上网课设计学习商务办公游戏手提 银【AI终端】4K英特尔16Ultra全面屏 16G运行+256G超速硬盘,￥1108.00,HUMI旗舰店,20万+条评价,https://item.jd.com/10043598885654.html
惠普（HP）暗影精灵乐享版【国家补贴20%】16.1英寸游戏本 笔记本(酷睿14代i7-14650HX RTX4060 16G 512G),￥6399.00,惠普（HP）OMEN暗影精灵京东自营旗舰店,10万+条评价,https://item.jd.com/100105984897.html
LGME拯救系列2025款笔记本电脑酷睿i9+RTX4060独显高性能大学生补贴AI编程设计轻薄本黑悟空电竞游戏本 【拯救系列】酷睿i9级+独显+指纹解锁+英雄联盟 32,￥2814.90,LGME旗舰店,1万+条评价,https://item.jd.com/10107864998738.html
联想小新Pro14笔记本电脑 2025可选酷睿i5高性能超轻薄本 设计扬天v办公大学生游戏本air14异能者可选 N100 16G内存 512G高速固态 P14H IPS全高清屏 满血性能,￥2399.00,联想福本专卖店,1万+条评价,https://item.jd.com/10130617805552.html
H&U&W国行【2025新英特尔+酷睿i7】笔记本电脑轻薄本大学生办公便携高性能游戏本商务设计AI标压手提本 【15代14英寸】英特尔IPS护眼+9D蓝光全面屏 16G内,￥1210.00,H&U&W旗舰店,5万+条评价,https://item.jd.com/10038237747026.html
惠普（HP）【国家补贴20%】锐14 AMD锐龙 14英寸轻薄笔记本电脑(六核R5-7530U 8G 512G 指纹 一年上门),￥2699.00,惠普（HP）京东自营旗舰店,5万+条评价,https://item.jd.com/100046501064.html
i7满血独显笔记本电脑轻薄本高端高性能金属游戏设计大学生 酷睿i7集显【4K+全能本+全面屏+背光+指纹锁】 32G内存+1TB超速硬盘,￥4588.00,亿盛源电脑办公专营店,1万+条评价,https://item.jd.com/10115117113575.html
戴睿（dere）国家补贴商务旗舰高性能笔记本电脑自营 办公设计绘图学生网课娱乐游戏手提轻薄本 英特尔16G+512G,￥1736.00,DERE戴睿京东自营旗舰店,1万+条评价,https://item.jd.com/100061693621.html
华硕天选6 国家补贴20% 16英寸游戏本 笔记本电脑(锐龙7 H 260 16G 1T RTX5060 2.5K)青,￥7999.00,华硕京东自营官方旗舰店,5000+条评价,https://item.jd.com/100223758264.html
华硕天选6 Pro 锐龙版 国家补贴20% 16英寸游戏本 笔记本电脑(锐龙9 8940HX 16G 1T RTX5070 2.5K)灰,￥9499.00,华硕京东自营官方旗舰店,5万+条评价,https://item.jd.com/100212784844.html
Book国行【2025款英特尔选酷睿】金属笔记本电脑轻薄本大学生上网课设计学习商务办公游戏手提 粉【AI终端】4K英特尔16Ultra全面屏 16G运行+256G超速硬盘,￥1118.00,HUMI旗舰店,20万+条评价,https://item.jd.com/10044527344295.html
