title,price,layout,area,orientation,district,update_time,tags,link
整租·连城新苑 2室2厅 南,6800 元/月,2室2厅1卫,93.58㎡,N/A,浦东,1天前维护,无,https://sh.lianjia.com/zufang/SH2048276904691105792.html
独栋·纳仕 张江国际社区右里Z区7店 管家服务式公寓 宠物友好 独立阳台 宜家环保家居 班车直达 1室1厅,3300 元/月,1室1厅1卫,30.00㎡,N/A,N/A,10天前维护,无,https://sh.lianjia.com/apartment/86503.html
独栋·纳仕 张江国际社区右里Z区7店 新店特惠 张江集团直租公寓 宜家绿色家具，民水民电，宠物友好 开间,3240-3380 元/月,1室0厅1卫,31.00㎡,N/A,N/A,1个月前维护,无,https://sh.lianjia.com/apartment/86503.html
整租·临沂一村 1室1厅 南,4200 元/月,1室1厅1卫,40.00㎡,N/A,浦东,1天前维护,无,https://sh.lianjia.com/zufang/SH2048988356385177600.html
独栋·纳仕 张江国际社区右里 限时折扣，24H安全保障，宜家绿色家具，租12免1，民水民电，燃气做饭 开间,3372 元/月,1室0厅1卫,30.00㎡,N/A,N/A,1个月前维护,无,https://sh.lianjia.com/apartment/73917.html
独栋·城方公寓 耀华璟耀社区 民用水电 两室 阳光通透 近后滩/徐汇西岸/华师二 2室1厅,8500-10051 元/月,2室1厅1卫,70.00㎡,N/A,N/A,4个月前维护,无,https://sh.lianjia.com/apartment/58894.html
整租·陈家宅小区(浦东大道) 2室1厅 南/北,4200 元/月,2室1厅1卫,58.25㎡,N/A,浦东,3天前维护,无,https://sh.lianjia.com/zufang/SH1918254045508665344.html
独栋·城方公寓 耀华璟耀社区 旺季特惠 国企直租 精致一室 可提公积金 近陆家嘴 1室1厅,5960-7330 元/月,1室1厅1卫,48.00-49.31㎡,N/A,N/A,4个月前维护,无,https://sh.lianjia.com/apartment/58894.html
独栋·城方公寓 耀华璟耀社区 签约有礼 国企直租 温馨三室 阳光江景 近陆家嘴 可居住证 3室1厅,11450-13401 元/月,3室1厅1卫,100.00㎡,N/A,N/A,4个月前维护,无,https://sh.lianjia.com/apartment/58894.html
整租·仁恒东郊花园 2室2厅 南,9000 元/月,2室2厅1卫,131.71㎡,N/A,浦东,今天维护,无,https://sh.lianjia.com/zufang/SH2048358257596039168.html
独栋·华润置地·有巢公寓 三林店 高端一居 超大公区 可提取公积金 新达汇100米！ 开间,6713-7855 元/月,1室0厅1卫,42.00-48.00㎡,N/A,N/A,20天前维护,无,https://sh.lianjia.com/apartment/48539.html
整租·香楠小区 3室1厅 南,7035 元/月,3室1厅1卫,82.77㎡,N/A,浦东,1天前维护,无,https://sh.lianjia.com/zufang/SH1917570143358025728.html
整租·彩虹雅苑 2室1厅 南/北,1700 元/月,2室1厅1卫,82.00㎡,N/A,浦东,1天前维护,无,https://sh.lianjia.com/zufang/SH2049079544505171968.html
独栋·华润置地·有巢公寓 三林店 【精致一居室 限时6.3折】近地铁 可办居住证 提公积金 1室1厅,4128-5148 元/月,1室1厅1卫,40.00-48.00㎡,N/A,N/A,7天前维护,无,https://sh.lianjia.com/apartment/48539.html
整租·恒大华城新华苑（东区） 2室1厅 南,4800 元/月,2室1厅1卫,55.00㎡,N/A,浦东,5天前维护,无,https://sh.lianjia.com/zufang/SH1918847920770121728.html
独栋·华润置地·有巢公寓 三林店 有巢公馆三林商圈 近地铁 可月付 可办居住证，年租可直免25天 开间,6200-7086 元/月,1室0厅1卫,40.00-48.00㎡,N/A,N/A,7天前维护,无,https://sh.lianjia.com/apartment/48539.html
独栋·轩椰公寓 旗舰店 精装地铁口一室户 1室1厅,2300-2500 元/月,1室1厅1卫,30.00㎡,N/A,N/A,1个月前维护,无,https://sh.lianjia.com/apartment/87032.html
整租·龙光·天曜 3室2厅 南,3400 元/月,3室2厅2卫,95.91㎡,N/A,浦东,今天维护,无,https://sh.lianjia.com/zufang/SH2048662322297176064.html
整租·双秀西园 2室2厅 南,4900 元/月,2室2厅1卫,79.84㎡,N/A,浦东,2天前维护,无,https://sh.lianjia.com/zufang/SH2047898507150360576.html
整租·海关大楼 2室1厅 南,6500 元/月,2室1厅1卫,71.66㎡,N/A,浦东,1天前维护,无,https://sh.lianjia.com/zufang/SH2048752514316107776.html
整租·上海绿城 3室2厅 南,15000 元/月,3室2厅2卫,127.49㎡,N/A,浦东,今天维护,无,https://sh.lianjia.com/zufang/SH2049028781833715712.html
整租·罗山花苑 2室1厅 南,7200 元/月,2室1厅1卫,69.23㎡,N/A,浦东,1天前维护,无,https://sh.lianjia.com/zufang/SH2048770993639391232.html
整租·荷三小区 2室1厅 南/北,4000 元/月,2室1厅1卫,58.83㎡,N/A,浦东,3天前维护,无,https://sh.lianjia.com/zufang/SH2037414196374667264.html
独栋·轩椰公寓 旗舰店 精装地铁口一室户 1室1厅,2300-2500 元/月,1室1厅1卫,30.00㎡,N/A,N/A,1个月前维护,无,https://sh.lianjia.com/apartment/87032.html
独栋·轩椰公寓 旗舰店 9号线地铁口 物业直租 直达金吉路 世纪大道 1室1厅,2300-2500 元/月,1室1厅1卫,40.00㎡,N/A,N/A,1个月前维护,无,https://sh.lianjia.com/apartment/87032.html
整租·长泰东郊御园(公寓) 3室2厅 南,5300 元/月,3室2厅2卫,138.19㎡,N/A,浦东,1天前维护,无,https://sh.lianjia.com/zufang/SH2048610121717645312.html
独栋·城投宽庭 张江社区 沪漂首选 独立一房 民用水电 签约立减房租 灵活租期 可停车 1室1厅,2200 元/月,1室1厅1卫,24.00㎡,N/A,N/A,8天前维护,无,https://sh.lianjia.com/apartment/68446.html
独栋·城投宽庭 张江社区 轻奢一房一厅58平 厅卧分离 民水民电 送一年宽带 1室1厅,4800 元/月,1室1厅1卫,58.00㎡,N/A,N/A,8天前维护,无,https://sh.lianjia.com/apartment/68446.html
整租·凌雪苑 2室2厅 南,6430 元/月,2室2厅1卫,85.00㎡,N/A,浦东,4天前维护,无,https://sh.lianjia.com/zufang/SH2024778688196771840.html
独栋·城投宽庭 张江社区 11号线高品质公寓 租期灵活 可月付 民用水电 送宽带 好停 1室1厅,4800 元/月,1室1厅1卫,58.00㎡,N/A,N/A,8天前维护,无,https://sh.lianjia.com/apartment/68446.html
独栋·贝壳海盐公寓 芳芯路店 毕业生特惠房【3min地铁】去班味儿花园式公寓/独立厨卫/可拎包入住 1室1厅,4250-4700 元/月,1室1厅1卫,20.40-31.00㎡,N/A,N/A,22天前维护,无,https://sh.lianjia.com/apartment/77741.html
整租·丽都华庭 2室2厅 南,2800 元/月,2室2厅1卫,88.28㎡,N/A,浦东,今天维护,无,https://sh.lianjia.com/zufang/SH2048223438543257600.html
独栋·贝壳海盐公寓 芳芯路店 【毕业季限时好房】张江花园式公寓/带小院大一室/可拎包入住 1室1厅,5200-5900 元/月,1室1厅1卫,33.00-33.20㎡,N/A,N/A,1个月前维护,无,https://sh.lianjia.com/apartment/77741.html
整租·舜川公寓 2室1厅 南/北,3500 元/月,2室1厅1卫,83.00㎡,N/A,浦东,1天前维护,无,https://sh.lianjia.com/zufang/SH2033123187641810944.html
独栋·贝壳海盐公寓 芳芯路店 品质公寓直租/地铁口一室一厅/带电视沙发/可做饭 1室1厅,7500-8100 元/月,1室1厅1卫,55.30-55.50㎡,N/A,N/A,20天前维护,无,https://sh.lianjia.com/apartment/77741.html
独栋·冠寓 上海浦东大道店 14/18号地铁15min直达陆家嘴 学生折扣企业合作折扣 开间,2507 元/月,1室0厅1卫,11.00㎡,N/A,N/A,3天前维护,无,https://sh.lianjia.com/apartment/18557.html
独栋·冠寓 上海浦东大道店 龙湖直租0中介 品牌公寓独居女性首选 全方位监控覆盖 开间,3600-4000 元/月,1室0厅1卫,20.00㎡,N/A,N/A,3天前维护,无,https://sh.lianjia.com/apartment/18557.html
整租·由由六村 2室0厅 南,4800 元/月,2室0厅1卫,46.00㎡,N/A,浦东,今天维护,无,https://sh.lianjia.com/zufang/SH2048776301480771584.html
整租·金杨新村四街坊 1室1厅 南,3945 元/月,1室1厅1卫,42.88㎡,N/A,浦东,1天前维护,无,https://sh.lianjia.com/zufang/SH2046134094365982720.html
整租·春晖苑 2室2厅 南,4500 元/月,2室2厅1卫,99.82㎡,N/A,浦东,今天维护,无,https://sh.lianjia.com/zufang/SH2046795606172631040.html
整租·锦绣御澜 3室1厅 南/北,10500 元/月,3室1厅2卫,99.38㎡,N/A,浦东,2天前维护,无,https://sh.lianjia.com/zufang/SH2047952329403006976.html
